Codice;Codice Fiscale;Ragione Sociale;Indirizzo;Città
OBP466;GLLRRT57R51L483M;AcquaPura Italia Srl di Maria Costa;Via Colombo, 224;Udine
OBU090;RCCVNT57S51L117L;Rete Idrica Nazionale SpA di Matteo Colombo;Via delle Scienze, 161;Terni
OBX257;BNCFBA82A06L736C;Gestione Idrica Integrata SpA di Francesco Bianchi;Via dell'Acquedotto, 126;Venezia
OBZ122;CLMCRN93C61A285O;Idro Distribuzione Italiana SpA di Luca Russo;Viale Santa Maria, 249;Andria
OBZ917;MRTFRC81P49G535R;Acque Chiare Servizi Srl di Marco Rossi;Via delle Scienze, 100;Piacenza
OCJ181;DNGLRA87C65A271M;BluAcqua Forniture Srl di Giuseppe Esposito;Via Colombo, 144;Ancona
OCK060;GRCFBA93E17G482R;Cristallina Acque Srl di Giulia Moretti;Via San Giovanni, 266;Pescara
OCK689;BRNNDR96E10L781S;Acquedotto Peninsulare SpA di Lorenzo Conti;Via della Libertà, 212;Verona
ODA760;LMBGRG97P26L424L;Rete Idrica Nazionale SpA di Matteo Colombo;Corso del Porto, 228;Trieste
ODH588;DSNMSM60L20L049K;Idroservice Nazionale SpA di Sara Rizzo;Via San Giovanni, 118;Taranto
ODL064;MRCFNC73M16G535A;BluFonte Distribuzione SpA di Giovanni Greco;Via Colombo, 247;Piacenza
ODP162;MRNMRC47B03B354S;Acque Chiare Servizi Srl di Marco Rossi;Via Dante, 141;Cagliari
OEE470;RZZGNN75E41E472Z;Acque del Sud Italia SpA di Elena Giordano;Via delle Scienze, 127;Latina
OEF088;CSTNTN65B06G224E;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso XX Settembre, 283;Padova
OEF738;CPPCRL48S28L424V;Sorgenti d'Italia Srl di Roberto Marino;Corso dell'Artigianato, 93;Trieste
OFD339;MRNLRT66M18G337D;Acque del Sud Italia SpA di Elena Giordano;Via della Libertà, 274;Parma
OFY803;NRELRT48S17G337I;PureFlow Idrica Srl di Alessandro Ricci;Via Dante, 132;Parma
OIF175;RSSNGL88T60H199G;Acque Chiare Servizi Srl di Marco Rossi;Via Matteotti, 275;Ravenna
OJA324;RCCLSN94B16A662O;AcquaPura Italia Srl di Maria Costa;Via Europa, 284;Bari
OJH236;SRRCRL90E16F839W;Acque del Sud Italia SpA di Elena Giordano;Viale Santa Maria, 224;Napoli
OJU261;VTLNTN65E03G337M;AcquaPura Italia Srl di Maria Costa;Via Dante, 62;Parma
OJV692;LNGRSL69T54D969T;Idro Distribuzione Italiana SpA di Luca Russo;Viale delle Industrie, 156;Genova
OKG362;MRNFRC93H57F839Z;Idrogest Italia SpA di Paolo De Luca;Corso Vittorio Emanuele, 233;Napoli
OKH308;MRTLSE77D57L378R;Idrogest Italia SpA di Paolo De Luca;Via della Costituzione, 82;Trento
OKJ248;LNEFNC68P20F952O;Acquedotto Peninsulare SpA di Lorenzo Conti;Viale delle Industrie, 190;Novara
OLZ050;SLVNTN92B04C573E;Idroservice Nazionale SpA di Sara Rizzo;Via dei Mille, 42;Cesena
OMM721;SLVNRC76R12G478E;PureFlow Idrica Srl di Alessandro Ricci;Via dell'Acquedotto, 35;Perugia
OND452;NRERRT98H41D969J;Acqua Sicura Forniture Srl di Chiara Lombardi;Viale della Repubblica, 245;Genova
ONH438;RZZGPP49B09L736J;Sorgenti d'Italia Srl di Roberto Marino;Via Europa, 144;Venezia
ONT569;CSTRCR58L16F205K;Sorgenti d'Italia Srl di Roberto Marino;Via Dante, 50;Milano
OOD666;VTLVNT58B48H703M;Sorgenti d'Italia Srl di Roberto Marino;Via San Giovanni, 231;Salerno
OOE362;FRRMRA89T57A271E;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso Cavour, 90;Ancona
OPX693;NREMHL57P06D548H;Fonti Chiare Distribuzione Srl di Laura Mancini;Corso Garibaldi, 58;Ferrara
OQQ071;LMBLRT70P22G224Z;AcquaPura Italia Srl di Maria Costa;Via Verdi, 61;Padova
ORE365;RZZRSL79S47H224W;Cristallina Acque Srl di Giulia Moretti;Via Europa, 115;Reggio Calabria
ORN985;RLNTRS63E56G535K;Acqua & Territorio SpA di Davide Gallo;Via Roma, 155;Piacenza
ORS324;CRSMRC50H02G224J;Cristallina Acque Srl di Giulia Moretti;Via Matteotti, 115;Padova
OSF900;RLNSFN65R10B354F;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Colombo, 199;Cagliari
OSV506;GRCSRA47B58D548M;Acqua & Territorio SpA di Davide Gallo;Corso della Pace, 286;Ferrara
OTP942;SNTSMN77R07E625P;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso dell'Artigianato, 15;Livorno
OTZ841;DLCFBA66H02D612R;Gestione Idrica Integrata SpA di Francesco Bianchi;Corso Marconi, 118;Firenze
OVS124;VTLSLV70R65C352J;Idro Distribuzione Italiana SpA di Luca Russo;Corso Cavour, 73;Catanzaro
OWH309;CPPLRA90H48L117C;PureFlow Idrica Srl di Alessandro Ricci;Corso Marconi, 255;Terni
OWJ031;SNTGNN65P08A662Q;Idroservice Nazionale SpA di Sara Rizzo;Viale dei Lavoratori, 218;Bari
OWK560;CRSLNE74P60D643Z;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via Roma, 210;Foggia
OWK821;GLLSFN62T10F257J;Acque Chiare Servizi Srl di Marco Rossi;Corso Cavour, 38;Modena
OWY963;VLLBBR70M66A285V;BluAcqua Forniture Srl di Giuseppe Esposito;Corso Garibaldi, 88;Andria
OXE692;BRNRRT74H49A952T;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Europa, 77;Bolzano
OXM246;LNESRA95M53L424J;BluFonte Distribuzione SpA di Giovanni Greco;Corso della Pace, 113;Trieste
OXT347;RCCLCU68B11I754K;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale Santa Maria, 268;Siracusa
OXV003;GRCSLV49B53I754T;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via Matteotti, 150;Siracusa
OYE037;FRRPRZ46L50F205E;Sorgenti d'Italia Srl di Roberto Marino;Viale della Repubblica, 41;Milano
OYS686;SLVLCU90T20F952N;Fonti Chiare Distribuzione Srl di Laura Mancini;Viale della Repubblica, 215;Novara
OZP393;CSTLNZ67S19G999Y;Acqua & Territorio SpA di Davide Gallo;Via della Costituzione, 61;Prato
OZY295;FRRSRA95T51D548S;Rete Idrica Nazionale SpA di Matteo Colombo;Corso Vittorio Emanuele, 28;Ferrara
PAW210;BNCCML86S57L840N;Cristallina Acque Srl di Giulia Moretti;Via dei Mille, 206;Vicenza
PBF383;MRNCST56A52D969N;Acque del Sud Italia SpA di Elena Giordano;Via della Costituzione, 228;Genova
PCV113;BRNMSM66R25L424S;Rete Idrica Nazionale SpA di Matteo Colombo;Piazza Mazzini, 3;Trieste
PEH152;RMNFNC85L01A662R;Servizi Idrici del Nord Srl di Stefano Bruno;Corso del Porto, 159;Bari
PEJ826;GRDFBA80S27H224N;Rete Idrica Nazionale SpA di Matteo Colombo;Corso dell'Artigianato, 4;Reggio Calabria
PEW166;MNTCRN87M66C351R;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Europa, 163;Catania
PFM853;VTLRCR53H03I452J;Idro Distribuzione Italiana SpA di Luca Russo;Corso del Porto, 197;Sassari
PGL555;DLCCLD73L46D643A;PureFlow Idrica Srl di Alessandro Ricci;Viale Leopardi, 275;Foggia
PGX076;RCCPRZ69E44G535O;Acqua & Territorio SpA di Davide Gallo;Via delle Scienze, 257;Piacenza
PHK397;RLNCRL52B01A285X;Cristallina Acque Srl di Giulia Moretti;Via della Costituzione, 193;Andria
PHO536;BRNVNT59S52A944T;BluFonte Distribuzione SpA di Giovanni Greco;Piazza Mazzini, 271;Bologna
PHS131;BRNGRG69L06G337D;Rete Idrica Nazionale SpA di Matteo Colombo;Via Colombo, 199;Parma
PIK178;MRTSMN80R17C573Q;Sorgenti d'Italia Srl di Roberto Marino;Corso Vittorio Emanuele, 83;Cesena
PIW357;CLMGLI47P47I754B;PureFlow Idrica Srl di Alessandro Ricci;Via dell'Acquedotto, 32;Siracusa
PKH374;CRSSFN64S26A944E;Idrogest Italia SpA di Paolo De Luca;Via IV Novembre, 148;Bologna
PKV738;PNIGPP87D25D643G;BluFonte Distribuzione SpA di Giovanni Greco;Corso XX Settembre, 159;Foggia
PLN455;GRCRCR94H13G535F;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso Garibaldi, 53;Piacenza
PLZ261;MRCMRC56P10B157F;BluFonte Distribuzione SpA di Giovanni Greco;Via IV Novembre, 289;Brescia
PLZ613;GLLFNC72L67A662Z;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale Leopardi, 183;Bari
PMO688;CPPPLA50E07H703I;Cristallina Acque Srl di Giulia Moretti;Viale Italia, 147;Salerno
PMP915;LMBGNN94E16F952L;Sorgenti d'Italia Srl di Roberto Marino;Via Verdi, 68;Novara
PMQ856;LNELCU48H25H501B;Idroservice Nazionale SpA di Sara Rizzo;Via delle Scienze, 90;Roma
PNG737;LMBRRT89H56G224R;Servizi Idrici del Nord Srl di Stefano Bruno;Corso Cavour, 66;Padova
PNI949;RSSRRT49A20C352T;PureFlow Idrica Srl di Alessandro Ricci;Via della Costituzione, 275;Catanzaro
PNO431;FRRMHL78E26A662Z;Acqua & Territorio SpA di Davide Gallo;Viale Italia, 48;Bari
PNW127;DSNRRT92M11H703G;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale Italia, 11;Salerno
POP275;MRNMRC66B21A944E;Cristallina Acque Srl di Giulia Moretti;Viale Santa Maria, 118;Bologna
POT550;NRELNE87L64A794F;AcquaPura Italia Srl di Maria Costa;Via San Giovanni, 12;Bergamo
POY257;SPSSRA61A66L378R;Servizi Idrici del Nord Srl di Stefano Bruno;Viale Nazionale, 261;Trento
PPU483;CLMSRG51D22G999V;Idrogest Italia SpA di Paolo De Luca;Viale della Repubblica, 216;Prato
PPX603;GLLCHR48E58E506S;Acque Chiare Servizi Srl di Marco Rossi;Corso Cavour, 174;Lecce
PQG389;FRRCRN69T45G337T;BluAcqua Forniture Srl di Giuseppe Esposito;Viale Italia, 162;Parma
PQY915;RCCMRC91S20L219I;Acque Chiare Servizi Srl di Marco Rossi;Via delle Scienze, 179;Torino
PRV009;GLLGLI58P48D704U;Rete Idrica Nazionale SpA di Matteo Colombo;Via IV Novembre, 157;Forlì
PRW300;MRNRRT60B16D704D;Acquedotto Centrale Italiano Srl di Antonio Romano;Via della Libertà, 145;Forlì
PSC862;RCCSFN71C05A271D;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso Cavour, 114;Ancona
PSP942;CRSRSO74B65H199Y;BluFonte Distribuzione SpA di Giovanni Greco;Viale delle Industrie, 194;Ravenna
PSZ751;MRTNGL64B56H224U;Acque del Sud Italia SpA di Elena Giordano;Corso Vittorio Emanuele, 105;Reggio Calabria
PTA175;GRCMSM60R25H703M;Acqua & Territorio SpA di Davide Gallo;Viale della Repubblica, 69;Salerno
PTB886;GRDVCN57M10A944W;Idroservice Nazionale SpA di Sara Rizzo;Viale dei Lavoratori, 203;Bologna
PTF955;LMBDNL95A15A390E;Rete Idrica Nazionale SpA di Matteo Colombo;Viale dei Lavoratori, 226;Arezzo
PUT817;CNTLNZ84C03G224P;Sorgenti d'Italia Srl di Roberto Marino;Viale della Repubblica, 204;Padova
PVH096;GNTRRT93E67A390D;Cristallina Acque Srl di Giulia Moretti;Viale della Repubblica, 180;Arezzo
PVH770;SLVLCU80P51G224O;AcquaPura Italia Srl di Maria Costa;Viale dei Lavoratori, 9;Padova
PVP442;MRTGPP75E14H703P;Servizi Idrici del Nord Srl di Stefano Bruno;Via Verdi, 75;Salerno
PVS724;MRCSRA74C53H703F;Acque del Sud Italia SpA di Elena Giordano;Corso della Pace, 22;Salerno
PVZ479;DNGMHL45B10A794W;Acqua & Territorio SpA di Davide Gallo;Via delle Scienze, 226;Bergamo
PWF870;CRSPRZ45C56H294V;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso Marconi, 284;Rimini
PWI172;RCCDVD65T09A662I;Cristallina Acque Srl di Giulia Moretti;Viale dei Lavoratori, 91;Bari
PWT417;CPPFNC78S03A390H;BluFonte Distribuzione SpA di Giovanni Greco;Corso del Porto, 148;Arezzo
PXU810;BNCLSN77M17A952P;Sorgenti d'Italia Srl di Roberto Marino;Corso del Porto, 197;Bolzano
PYO248;CSTNRC45T11G535U;Acque del Sud Italia SpA di Elena Giordano;Corso XX Settembre, 268;Piacenza
PYP628;PNIRRT77H17G999N;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale dei Lavoratori, 117;Prato
PYS463;VTLCHR52P53G478K;Idro Distribuzione Italiana SpA di Luca Russo;Corso Cavour, 44;Perugia
PZG168;FNTGLI73E05C351K;BluAcqua Forniture Srl di Giuseppe Esposito;Via dei Mille, 205;Catania
PZO752;CNTGRG78E13D612O;Idroservice Nazionale SpA di Sara Rizzo;Via Matteotti, 211;Firenze
PZS276;MRCRRT89E62L117F;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso XX Settembre, 124;Terni
PZW092;SNTSMN73R16H501W;Idro Distribuzione Italiana SpA di Luca Russo;Viale Santa Maria, 248;Roma
QAH414;CLMLSN85T66L049K;Idroservice Nazionale SpA di Sara Rizzo;Corso della Pace, 190;Taranto
QAM770;CNTSFN85A19G337A;Sorgenti d'Italia Srl di Roberto Marino;Via della Libertà, 86;Parma
QAZ311;GRDLCU45R58A662R;Acque Chiare Servizi Srl di Marco Rossi;Via delle Scienze, 197;Bari
QAZ794;MRNPRZ57P61B354Y;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale Santa Maria, 101;Cagliari
QBB703;GRCLNZ71B27E625I;Acquedotto Peninsulare SpA di Lorenzo Conti;Via dei Mille, 282;Livorno
QBT328;BNCSFN89M08E625F;AcquaPura Italia Srl di Maria Costa;Viale delle Industrie, 66;Livorno
QCL677;DLCVCN93H24H199V;Sorgenti d'Italia Srl di Roberto Marino;Viale della Repubblica, 16;Ravenna
QFC039;BRNVCN92T21A285L;Acqua & Territorio SpA di Davide Gallo;Corso Vittorio Emanuele, 23;Andria
QFW281;GLLGLI51B17E625K;Acquedotto Peninsulare SpA di Lorenzo Conti;Via del Commercio, 162;Livorno
QHN967;BRNCRN70S61B157O;Sorgenti d'Italia Srl di Roberto Marino;Via Colombo, 261;Brescia
QHZ300;CLMDVD69B18F704V;Acqua & Territorio SpA di Davide Gallo;Viale della Repubblica, 79;Monza
QJE701;GRSDNL97A08C351K;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Roma, 8;Catania
QJN048;FRRRCR76E16G224R;Acquedotto Centrale Italiano Srl di Antonio Romano;Via IV Novembre, 138;Padova
QJP702;RZZSFN76R18D643Y;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Verdi, 111;Foggia
QJY051;MNTNDR76S24G337F;Acquedotto Peninsulare SpA di Lorenzo Conti;Via San Giovanni, 223;Parma
QKA061;CLMFRC69C56F839Q;Acquedotto Centrale Italiano Srl di Antonio Romano;Corso Vittorio Emanuele, 164;Napoli
QLG279;SRRNDR53S27H199C;AcquaPura Italia Srl di Maria Costa;Via IV Novembre, 255;Ravenna
QLP276;BRNLCU48S44B354H;AcquaPura Italia Srl di Maria Costa;Via Dante, 139;Cagliari
QLR087;GLLCST94P61E506Z;Idro Distribuzione Italiana SpA di Luca Russo;Via dei Mille, 177;Lecce
QMH791;SNTMHL86H25A662G;Acque Chiare Servizi Srl di Marco Rossi;Corso Garibaldi, 34;Bari
QML535;MNCLRA94H45B157H;Fonti Chiare Distribuzione Srl di Laura Mancini;Via della Libertà, 51;Brescia
QMN764;LMBLSN68R52H199A;Acquedotto Centrale Italiano Srl di Antonio Romano;Via dell'Acquedotto, 14;Ravenna
QMR641;BRNLSE47S48A285L;Acquedotto Peninsulare SpA di Lorenzo Conti;Via della Libertà, 147;Andria
QOE368;CLMPLA98R44A390Q;Fonti Chiare Distribuzione Srl di Laura Mancini;Viale Leopardi, 187;Arezzo
QOG586;LNEPRI62C02H224D;Acque del Sud Italia SpA di Elena Giordano;Viale dei Lavoratori, 71;Reggio Calabria
QPA373;RMNDVD82A27D612R;PureFlow Idrica Srl di Alessandro Ricci;Via IV Novembre, 131;Firenze
QPG902;DNGNDR56A21G535Z;BluFonte Distribuzione SpA di Giovanni Greco;Corso della Pace, 99;Piacenza
QQS868;FNTMTT49A14L736E;AcquaPura Italia Srl di Maria Costa;Via delle Scienze, 184;Venezia
QRO894;LMBDNL89C23A952T;Idroservice Nazionale SpA di Sara Rizzo;Corso dell'Artigianato, 169;Bolzano
QRS059;MNCLCU59A04A794J;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale Nazionale, 278;Bergamo
QRU621;SNTDVD90T07L736X;Rete Idrica Nazionale SpA di Matteo Colombo;Via IV Novembre, 265;Venezia
QSE830;VLLPLA67H65L219K;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale Italia, 224;Torino
QTB722;SPSLCU98L41L117L;BluFonte Distribuzione SpA di Giovanni Greco;Corso XX Settembre, 231;Terni
QTD531;CNTDVD83E26A662S;Rete Idrica Nazionale SpA di Matteo Colombo;Corso dell'Artigianato, 216;Bari
QTF469;BNCCML93L68C573B;Acque del Sud Italia SpA di Elena Giordano;Via delle Scienze, 229;Cesena
QTT166;RMNDNL72D13C351S;BluFonte Distribuzione SpA di Giovanni Greco;Via Colombo, 45;Catania
QTX091;VTLFBA55D07A662C;Acqua & Territorio SpA di Davide Gallo;Corso della Pace, 34;Bari
QTX755;FRRLNZ48M19F205S;Acquedotto Centrale Italiano Srl di Antonio Romano;Via delle Scienze, 248;Milano
QUE979;CPPLRT53P28G999C;Rete Idrica Nazionale SpA di Matteo Colombo;Via Roma, 63;Prato
QUZ657;CNTNRC88E25E472B;BluFonte Distribuzione SpA di Giovanni Greco;Corso Garibaldi, 205;Latina
QVL965;FRRNDR53C14C352V;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso della Pace, 259;Catanzaro
QWD526;FRRDVD90M05H294G;BluAcqua Forniture Srl di Giuseppe Esposito;Corso Marconi, 197;Rimini
QWL407;VTLRSL65D41D704D;Idro Distribuzione Italiana SpA di Luca Russo;Corso Marconi, 167;Forlì
QWQ365;SPSPRZ52C52I452O;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale Santa Maria, 37;Sassari
QWX622;DLCGLI94H52G482R;Acqua Sicura Forniture Srl di Chiara Lombardi;Via del Commercio, 12;Pescara
QXH577;LNENGL77S68D548J;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via della Costituzione, 218;Ferrara
QXJ702;CNTCLD61D43H501R;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Viale dei Lavoratori, 70;Roma
QYG131;CSTNNA98L48H199H;Cristallina Acque Srl di Giulia Moretti;Corso Garibaldi, 233;Ravenna
QZH335;MRTVNT83A47D969W;Fonti Chiare Distribuzione Srl di Laura Mancini;Viale Santa Maria, 199;Genova
QZL843;GRSSLV95B58A952M;AcquaPura Italia Srl di Maria Costa;Corso Vittorio Emanuele, 2;Bolzano
QZN420;CSTRSL58H52G273U;AcquaPura Italia Srl di Maria Costa;Viale della Repubblica, 278;Palermo
QZR449;FRRFRC81P55L049B;Acquedotto Peninsulare SpA di Lorenzo Conti;Via della Costituzione, 9;Taranto
RAH222;BRBDNL50C28A390D;Acque del Sud Italia SpA di Elena Giordano;Corso Cavour, 6;Arezzo
RBO724;SRRLSE58B42A285Q;Gestione Idrica Integrata SpA di Francesco Bianchi;Viale Leopardi, 62;Andria
RCI054;LMBLNE78D60H703R;Rete Idrica Nazionale SpA di Matteo Colombo;Corso Garibaldi, 184;Salerno
RCW829;MRTLCU45P10A944I;PureFlow Idrica Srl di Alessandro Ricci;Corso dell'Artigianato, 222;Bologna
RDC496;BNCRRT84L15H530X;AcquaPura Italia Srl di Maria Costa;Viale Italia, 11;Reggio Emilia
RDE306;DNGPRZ89C48L219V;Fonti Chiare Distribuzione Srl di Laura Mancini;Corso Vittorio Emanuele, 225;Torino
REQ392;FNTLSN73S49F839Z;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso XX Settembre, 179;Napoli
RFC617;RMNNNA86D45A662S;Acque Chiare Servizi Srl di Marco Rossi;Viale della Repubblica, 141;Bari
RFH148;LMBFBA80M14G999V;Acquedotto Centrale Italiano Srl di Antonio Romano;Via dell'Acquedotto, 259;Prato
RFN026;RSSMSM86H20D643S;Acqua Sicura Forniture Srl di Chiara Lombardi;Corso dell'Artigianato, 140;Foggia
RFP004;GRDFNC79B13D969V;Acqua Sicura Forniture Srl di Chiara Lombardi;Viale Leopardi, 148;Genova
RFQ684;LNGMHL59D14F839D;Servizi Idrici del Nord Srl di Stefano Bruno;Corso Cavour, 289;Napoli
RFR649;RCCSFN58B26A794C;Sorgenti d'Italia Srl di Roberto Marino;Via IV Novembre, 236;Bergamo
RGR089;SNTGLI70R54L483B;Acque Chiare Servizi Srl di Marco Rossi;Via del Commercio, 270;Udine
RGX218;CNTGLI89S46B157C;AcquaPura Italia Srl di Maria Costa;Via Roma, 47;Brescia
RHN742;CLMRSO56T50B354I;Acquedotto Peninsulare SpA di Lorenzo Conti;Corso Marconi, 17;Cagliari
RIM165;FRRCRN46S65F839Z;Acquedotto Centrale Italiano Srl di Antonio Romano;Via della Libertà, 188;Napoli
RIX688;RMNGPP46E01E625S;Acqua & Territorio SpA di Davide Gallo;Via della Costituzione, 104;Livorno
RKZ584;CPPMTT51C26I754N;Acqua & Territorio SpA di Davide Gallo;Corso della Pace, 213;Siracusa
RLH524;LMBFNC75D66D086Q;Idrogest Italia SpA di Paolo De Luca;Viale delle Industrie, 56;Cosenza
RLN977;BRBLSN69M48G224K;Sorgenti d'Italia Srl di Roberto Marino;Via dell'Acquedotto, 242;Padova
RMA939;RCCLSE71H66L781E;Idrogest Italia SpA di Paolo De Luca;Piazza Mazzini, 143;Verona
RMV940;FRRNGL96C58H501X;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Via Colombo, 168;Roma
RMX680;RLNNTN92E24H224P;Rete Idrica Nazionale SpA di Matteo Colombo;Viale Nazionale, 185;Reggio Calabria
RNR679;RNLRSO77P47A944U;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Colombo, 56;Bologna
RNS571;CSTDNL79L09I452T;Cristallina Acque Srl di Giulia Moretti;Corso Cavour, 35;Sassari
RNW525;CRSLSN49D49G535Z;Acqua & Territorio SpA di Davide Gallo;Via della Costituzione, 290;Piacenza
ROH870;LNGPRI94T20L424G;Acqua Sicura Forniture Srl di Chiara Lombardi;Via Matteotti, 151;Trieste
ROI365;MRNGNN86P08C573O;BluFonte Distribuzione SpA di Giovanni Greco;Via dei Mille, 189;Cesena
ROK141;MRNPRZ58L55F257W;Gestione Idrica Integrata SpA di Francesco Bianchi;Via dei Mille, 163;Modena
ROO532;GNTPLA58C23C351G;Acqua Sicura Forniture Srl di Chiara Lombardi;Via dei Mille, 61;Catania
ROW619;MRNSRA90P60L049T;Sorgenti d'Italia Srl di Roberto Marino;Corso Marconi, 159;Taranto
ROY023;RMNRRT74P23E472M;Acqua & Territorio SpA di Davide Gallo;Via del Commercio, 268;Latina
RQQ700;CSTLNZ58P23H530U;PureFlow Idrica Srl di Alessandro Ricci;Viale della Repubblica, 202;Reggio Emilia
RRC426;RCCNRC59B21F839G;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Matteotti, 67;Napoli
RRM657;CNTCHR61L47H501Z;Acqua Sicura Forniture Srl di Chiara Lombardi;Piazza Mazzini, 207;Roma
RSC850;RCCVNT93T43I452V;BluAcqua Forniture Srl di Giuseppe Esposito;Viale Italia, 197;Sassari
RSM798;RLNLCU87B11C352R;Fonti Chiare Distribuzione Srl di Laura Mancini;Via del Commercio, 198;Catanzaro
RTE619;RSSPRZ85P46I452D;AcquaPura Italia Srl di Maria Costa;Via Europa, 247;Sassari
RTM654;RCCSMN76T28L781C;Sorgenti d'Italia Srl di Roberto Marino;Viale delle Industrie, 72;Verona
RVV713;FRRVCN93A25L424S;Acqua Sicura Forniture Srl di Chiara Lombardi;Via del Commercio, 148;Trieste
RWK780;RZZLSN50B24L424R;Cristallina Acque Srl di Giulia Moretti;Via delle Scienze, 205;Trieste
RWZ375;RZZDNL98M01H199S;BluAcqua Forniture Srl di Giuseppe Esposito;Piazza Mazzini, 221;Ravenna
RXA878;MRCFRC89C60L781B;Acqua & Territorio SpA di Davide Gallo;Corso XX Settembre, 224;Verona
RXU764;SRRFNC97S64G478E;Acquedotto Centrale Italiano Srl di Antonio Romano;Via delle Scienze, 123;Perugia
RXV102;CLMBBR87E61F257V;AcquaPura Italia Srl di Maria Costa;Corso XX Settembre, 123;Modena
RYF317;GLLDVD59E01F952J;Gestione Idrica Integrata SpA di Francesco Bianchi;Via Verdi, 127;Novara
RYL840;BNCLSN86L06F952E;BluAcqua Forniture Srl di Giuseppe Esposito;Via del Commercio, 115;Novara
RYN874;GNTGRG52T28E506O;Cristallina Acque Srl di Giulia Moretti;Viale Nazionale, 268;Lecce
RYO262;BRNRRT88L61L378G;Rete Idrica Nazionale SpA di Matteo Colombo;Via dell'Acquedotto, 94;Trento
SAA423;RLNSMN92R09F257Q;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso del Porto, 55;Modena
SAW235;GLLPLA48D08H199Z;Idro Distribuzione Italiana SpA di Luca Russo;Corso Cavour, 291;Ravenna
SBB219;DLCPLA45C15D086Y;Idro Distribuzione Italiana SpA di Luca Russo;Viale Leopardi, 181;Cosenza
SBR458;RZZFNC98C18A794Q;Acque del Sud Italia SpA di Elena Giordano;Corso Garibaldi, 102;Bergamo
SBY888;CPPMNC80E48I754R;BluFonte Distribuzione SpA di Giovanni Greco;Corso della Pace, 227;Siracusa
SCK419;GRSFRC87H67A952A;Acquedotto Centrale Italiano Srl di Antonio Romano;Viale Santa Maria, 66;Bolzano
SDD938;MRNGLI59S28L736S;Acque del Sud Italia SpA di Elena Giordano;Via Verdi, 243;Venezia
SDP524;CNTCRN95A41G273H;Acquedotto Peninsulare SpA di Lorenzo Conti;Via Roma, 62;Palermo
SEM384;RSSDNL66L09L219A;AquaVerde Servizi Idrici Srl di Andrea Ferrari;Corso Vittorio Emanuele, 156;Torino
SEQ525;CLMLNZ68S26F704R;Idroservice Nazionale SpA di Sara Rizzo;Via Colombo, 225;Monza
SER366;SLVCML82R46L736C;BluAcqua Forniture Srl di Giuseppe Esposito;Viale delle Industrie, 141;Venezia
SEX072;BRBPLA62H50C352R;Rete Idrica Nazionale SpA di Matteo Colombo;Corso del Porto, 21;Catanzaro
SFD863;GRSLSN72P09L117W;Acqua Sicura Forniture Srl di Chiara Lombardi;Via del Commercio, 148;Terni
SFI447;RNLRCR86T23B157F;Acqua & Territorio SpA di Davide Gallo;Via del Commercio, 85;Brescia
SGM968;CNTMTT87L07E472T;Acque Chiare Servizi Srl di Marco Rossi;Corso Vittorio Emanuele, 50;Latina
SHK772;FNTBBR85T68L736L;Acqua Sicura Forniture Srl di Chiara Lombardi;Via IV Novembre, 3;Venezia
SIS512;PNITRS84M59H530P;BluAcqua Forniture Srl di Giuseppe Esposito;Corso XX Settembre, 210;Reggio Emilia
SIV111;SRRMTT85A05A390H;Acque Chiare Servizi Srl di Marco Rossi;Corso XX Settembre, 260;Arezzo
SIW989;CNTMNC51L53L219E;Acquedotto Centrale Italiano Srl di Antonio Romano;Via Roma, 166;Torino
SJA576;GLLPRI84L08C352W;BluFonte Distribuzione SpA di Giovanni Greco;Via del Commercio, 148;Catanzaro
SJG936;RCCMNC49M43D086T;Idro Distribuzione Italiana SpA di Luca Russo;Via IV Novembre, 186;Cosenza
